Country,Total Cases,Cases,Total Deaths,Deaths,Total Recovered,Serious,Tested,Date
Burkina Faso,282,21,16.0,2,46.0,0.0,0.0,2020-04-01
Réunion,281,34,0.0,0,40.0,3.0,0.0,2020-04-01
Jordan,278,4,5.0,0,36.0,5.0,0.0,2020-04-01
Albania,259,16,15.0,0,67.0,7.0,0.0,2020-04-01
Afghanistan,237,63,4.0,0,5.0,0.0,0.0,2020-04-01
San Marino,236,0,26.0,0,13.0,16.0,0.0,2020-04-01
Cameroon,233,40,6.0,0,10.0,0.0,0.0,2020-04-01
Vietnam,218,6,0.0,0,63.0,3.0,0.0,2020-04-01
Cuba,212,26,6.0,0,12.0,3.0,0.0,2020-04-01
Oman,210,18,1.0,0,34.0,3.0,0.0,2020-04-01
Ghana,195,34,5.0,0,31.0,1.0,0.0,2020-04-01
Ivory Coast,190,11,1.0,0,9.0,0.0,0.0,2020-04-01
Senegal,190,15,1.0,1,45.0,0.0,0.0,2020-04-01
Malta,188,19,0.0,0,2.0,2.0,0.0,2020-04-01
Uzbekistan,181,9,2.0,0,12.0,8.0,0.0,2020-04-01
Nigeria,174,39,2.0,0,9.0,0.0,0.0,2020-04-01
Faeroe Islands,173,4,0.0,0,75.0,1.0,0.0,2020-04-01
Honduras,172,31,10.0,3,3.0,4.0,0.0,2020-04-01
Channel Islands,172,31,3.0,0,0.0,0.0,0.0,2020-04-01
Belarus,163,11,2.0,1,53.0,2.0,0.0,2020-04-01
Mauritius,161,18,6.0,1,0.0,1.0,0.0,2020-04-01
Sri Lanka,146,3,3.0,1,21.0,5.0,0.0,2020-04-01
Venezuela,144,9,3.0,0,43.0,6.0,0.0,2020-04-01
Martinique,135,7,3.0,0,27.0,16.0,0.0,2020-04-01
Palestine,134,15,1.0,0,18.0,0.0,0.0,2020-04-01
Brunei,131,2,1.0,0,52.0,3.0,0.0,2020-04-01
Guadeloupe,125,11,6.0,2,24.0,14.0,0.0,2020-04-01
Montenegro,123,14,2.0,0,0.0,4.0,0.0,2020-04-01
Georgia,117,7,0.0,0,23.0,6.0,0.0,2020-04-01
Bolivia,115,8,7.0,1,1.0,3.0,0.0,2020-04-01
Kyrgyzstan,111,4,0.0,0,3.0,3.0,0.0,2020-04-01
DRC,109,11,9.0,1,3.0,0.0,0.0,2020-04-01
Cambodia,109,0,0.0,0,25.0,1.0,0.0,2020-04-01
Mayotte,101,7,1.0,0,10.0,3.0,0.0,2020-04-01
Trinidad and Tobago,90,3,5.0,2,1.0,0.0,0.0,2020-04-01
Rwanda,82,7,0.0,0,0.0,0.0,0.0,2020-04-01
Kenya,81,22,1.0,0,3.0,2.0,0.0,2020-04-01
Gibraltar,81,12,0.0,0,34.0,0.0,0.0,2020-04-01
Niger,74,40,5.0,2,0.0,0.0,0.0,2020-04-01
Liechtenstein,72,4,0.0,0,0.0,0.0,0.0,2020-04-01
Paraguay,69,4,3.0,0,1.0,4.0,0.0,2020-04-01
Isle of Man,68,8,1.0,1,0.0,0.0,0.0,2020-04-01
Madagascar,57,0,0.0,0,0.0,6.0,0.0,2020-04-01
Monaco,55,3,1.0,0,2.0,2.0,0.0,2020-04-01
Aruba,55,0,0.0,0,1.0,0.0,0.0,2020-04-01
Bangladesh,54,3,6.0,1,25.0,1.0,0.0,2020-04-01
French Guiana,51,0,0.0,0,15.0,0.0,0.0,2020-04-01
Barbados,45,11,0.0,0,0.0,0.0,0.0,2020-04-01
Jamaica,44,6,3.0,1,2.0,0.0,0.0,2020-04-01
Uganda,44,0,0.0,0,0.0,0.0,0.0,2020-04-01
Macao,41,0,0.0,0,10.0,0.0,0.0,2020-04-01
Guatemala,39,1,1.0,0,12.0,1.0,0.0,2020-04-01
French Polynesia,37,0,0.0,0,0.0,1.0,0.0,2020-04-01
Togo,36,2,2.0,1,10.0,0.0,0.0,2020-04-01
Zambia,36,0,0.0,0,0.0,0.0,0.0,2020-04-01
Djibouti,33,3,0.0,0,0.0,0.0,0.0,2020-04-01
El Salvador,32,0,2.0,1,0.0,4.0,0.0,2020-04-01
Bermuda,32,0,0.0,0,10.0,0.0,0.0,2020-04-01
Mali,31,3,3.0,1,0.0,0.0,0.0,2020-04-01
Guinea,30,8,0.0,0,0.0,0.0,0.0,2020-04-01
Ethiopia,29,3,0.0,0,2.0,2.0,0.0,2020-04-01
Congo,22,3,2.0,2,0.0,0.0,0.0,2020-04-01
Cayman Islands,22,8,1.0,0,0.0,0.0,0.0,2020-04-01
Bahamas,21,7,1.0,1,1.0,0.0,0.0,2020-04-01
Tanzania,20,1,1.0,0,1.0,0.0,0.0,2020-04-01
Guyana,19,7,3.0,1,0.0,0.0,0.0,2020-04-01
Maldives,19,1,0.0,0,13.0,0.0,0.0,2020-04-01
Gabon,18,2,1.0,0,0.0,0.0,0.0,2020-04-01
Myanmar,16,1,1.0,0,0.0,0.0,0.0,2020-04-01
Sint Maarten,16,10,1.0,1,6.0,0.0,0.0,2020-04-01
Haiti,16,1,0.0,0,1.0,0.0,0.0,2020-04-01
New Caledonia,16,0,0.0,0,1.0,0.0,0.0,2020-04-01
Saint Martin,15,0,1.0,0,2.0,0.0,0.0,2020-04-01
Equatorial Guinea,15,0,0.0,0,1.0,0.0,0.0,2020-04-01
Eritrea,15,0,0.0,0,0.0,0.0,0.0,2020-04-01
Mongolia,14,2,0.0,0,2.0,0.0,0.0,2020-04-01
Namibia,14,3,0.0,0,2.0,0.0,0.0,2020-04-01
Benin,13,4,0.0,0,1.0,0.0,0.0,2020-04-01
Saint Lucia,13,0,0.0,0,1.0,0.0,0.0,2020-04-01
Dominica,12,0,0.0,0,0.0,0.0,0.0,2020-04-01
Curaçao,11,0,1.0,0,3.0,0.0,0.0,2020-04-01
Syria,10,0,2.0,0,0.0,0.0,0.0,2020-04-01
Greenland,10,0,0.0,0,2.0,0.0,0.0,2020-04-01
Laos,10,1,0.0,0,0.0,0.0,0.0,2020-04-01
Libya,10,0,0.0,0,0.0,0.0,0.0,2020-04-01
Mozambique,10,2,0.0,0,0.0,0.0,0.0,2020-04-01
Seychelles,10,0,0.0,0,0.0,0.0,0.0,2020-04-01
Suriname,10,1,0.0,0,0.0,0.0,0.0,2020-04-01
MS Zaandam,9,7,2.0,2,0.0,0.0,0.0,2020-04-01
Grenada,9,0,0.0,0,0.0,0.0,0.0,2020-04-01
Guinea-Bissau,9,1,0.0,0,0.0,0.0,0.0,2020-04-01
Eswatini,9,0,0.0,0,0.0,0.0,0.0,2020-04-01
Angola,8,1,2.0,0,1.0,0.0,0.0,2020-04-01
Zimbabwe,8,0,1.0,0,0.0,0.0,0.0,2020-04-01
Saint Kitts and Nevis,8,0,0.0,0,0.0,0.0,0.0,2020-04-01
Sudan,7,0,2.0,0,2.0,0.0,0.0,2020-04-01
Antigua and Barbuda,7,0,0.0,0,0.0,0.0,0.0,2020-04-01
Chad,7,0,0.0,0,0.0,0.0,0.0,2020-04-01
Cabo Verde,6,0,1.0,0,0.0,0.0,0.0,2020-04-01
Mauritania,6,0,1.0,0,2.0,0.0,0.0,2020-04-01
Vatican City,6,0,0.0,0,0.0,0.0,0.0,2020-04-01
Liberia,6,3,0.0,0,0.0,0.0,0.0,2020-04-01
St. Barth,6,0,0.0,0,1.0,0.0,0.0,2020-04-01
Turks and Caicos,6,1,0.0,0,0.0,0.0,0.0,2020-04-01
Nicaragua,5,0,1.0,0,0.0,0.0,0.0,2020-04-01
Nepal,5,0,0.0,0,1.0,0.0,0.0,2020-04-01
Fiji,5,0,0.0,0,0.0,0.0,0.0,2020-04-01
Montserrat,5,0,0.0,0,0.0,0.0,0.0,2020-04-01
Somalia,5,0,0.0,0,1.0,0.0,0.0,2020-04-01
Botswana,4,0,1.0,0,0.0,0.0,0.0,2020-04-01
Gambia,4,0,1.0,0,2.0,0.0,0.0,2020-04-01
Bhutan,4,0,0.0,0,0.0,0.0,0.0,2020-04-01
Belize,3,0,0.0,0,0.0,0.0,0.0,2020-04-01
British Virgin Islands,3,0,0.0,0,0.0,0.0,0.0,2020-04-01
CAR,3,0,0.0,0,0.0,0.0,0.0,2020-04-01
Anguilla,2,0,0.0,0,0.0,0.0,0.0,2020-04-01
Burundi,2,0,0.0,0,0.0,0.0,0.0,2020-04-01
Caribbean Netherlands,2,2,0.0,0,0.0,0.0,0.0,2020-04-01
St. Vincent Grenadines,2,1,0.0,0,1.0,0.0,0.0,2020-04-01
Sierra Leone,2,1,0.0,0,0.0,0.0,0.0,2020-04-01
Papua New Guinea,1,0,0.0,0,0.0,0.0,0.0,2020-04-01
Timor-Leste,1,0,0.0,0,0.0,0.0,0.0,2020-04-01
China,81554,0,3312.0,0,76238.0,466.0,0.0,2020-04-01
Total:,934519,76164,47179.0,4870,193968.0,35475.0,0.0,2020-04-01
China,81554,36,3312.0,7,76238.0,466.0,0.0,2020-04-02
USA,188530,24742,4053.0,912,7251.0,4576.0,0.0,2020-04-02
Italy,105792,4053,12428.0,837,15729.0,4023.0,0.0,2020-04-02
Spain,95923,7967,8464.0,748,19259.0,5607.0,0.0,2020-04-02
Germany,71808,4923,775.0,130,16100.0,2675.0,0.0,2020-04-02
France,52128,7578,3523.0,499,9444.0,5565.0,0.0,2020-04-02
Iran,44605,3110,2898.0,141,14656.0,3703.0,0.0,2020-04-02
UK,25150,3009,1789.0,381,135.0,163.0,0.0,2020-04-02
Switzerland,16605,683,433.0,74,1823.0,301.0,0.0,2020-04-02
Turkey,13531,2704,214.0,46,243.0,622.0,0.0,2020-04-02
Belgium,12775,876,705.0,192,1696.0,1021.0,0.0,2020-04-02
Netherlands,12595,845,1039.0,175,250.0,1053.0,0.0,2020-04-02
Austria,10180,562,128.0,20,1095.0,198.0,0.0,2020-04-02
S. Korea,9786,125,162.0,4,5408.0,55.0,0.0,2020-04-02
Canada,8612,1164,101.0,12,1242.0,120.0,0.0,2020-04-02
Portugal,7443,1035,160.0,20,43.0,188.0,0.0,2020-04-02
Brazil,5717,1087,201.0,38,127.0,296.0,0.0,2020-04-02
Israel,5358,663,20.0,4,224.0,94.0,0.0,2020-04-02
Australia,4763,303,20.0,1,345.0,28.0,0.0,2020-04-02
Norway,4641,196,39.0,7,13.0,97.0,0.0,2020-04-02
Sweden,4435,407,180.0,34,16.0,358.0,0.0,2020-04-02
Czechia,3308,307,31.0,8,45.0,64.0,0.0,2020-04-02
Ireland,3235,325,71.0,17,5.0,103.0,0.0,2020-04-02
Denmark,2860,283,90.0,13,1.0,145.0,0.0,2020-04-02
Malaysia,2766,140,43.0,6,537.0,94.0,0.0,2020-04-02
Chile,2738,289,12.0,4,156.0,14.0,0.0,2020-04-02
Russia,2337,501,17.0,8,121.0,8.0,0.0,2020-04-02
Poland,2311,256,33.0,2,7.0,50.0,0.0,2020-04-02
Ecuador,2302,336,79.0,17,58.0,100.0,0.0,2020-04-02
Romania,2245,136,82.0,17,220.0,62.0,0.0,2020-04-02
Japan,2178,225,57.0,1,424.0,69.0,0.0,2020-04-02
Luxembourg,2178,190,23.0,1,80.0,31.0,0.0,2020-04-02
Philippines,2084,538,88.0,10,49.0,1.0,0.0,2020-04-02
Pakistan,1938,221,26.0,5,76.0,12.0,0.0,2020-04-02
Thailand,1651,127,10.0,1,342.0,23.0,0.0,2020-04-02
Saudi Arabia,1563,110,10.0,2,165.0,31.0,0.0,2020-04-02
Indonesia,1528,114,136.0,14,81.0,0.0,0.0,2020-04-02
Finland,1418,66,17.0,4,10.0,56.0,0.0,2020-04-02
India,1397,146,35.0,3,123.0,0.0,0.0,2020-04-02
South Africa,1353,27,5.0,2,31.0,7.0,0.0,2020-04-02
Greece,1314,102,49.0,3,52.0,72.0,0.0,2020-04-02
Panama,1181,106,30.0,3,9.0,50.0,0.0,2020-04-02
Iceland,1135,49,2.0,0,198.0,11.0,0.0,2020-04-02
Dominican Republic,1109,208,51.0,9,5.0,0.0,0.0,2020-04-02
Mexico,1094,101,28.0,8,35.0,1.0,0.0,2020-04-02
Peru,1065,115,30.0,6,394.0,49.0,0.0,2020-04-02
Argentina,1054,234,27.0,4,240.0,0.0,0.0,2020-04-02
Singapore,926,47,3.0,0,240.0,22.0,0.0,2020-04-02
Colombia,906,108,16.0,2,31.0,35.0,0.0,2020-04-02
Serbia,900,115,23.0,7,42.0,62.0,0.0,2020-04-02
Croatia,867,77,6.0,0,67.0,32.0,0.0,2020-04-02
Slovenia,802,46,15.0,4,10.0,24.0,0.0,2020-04-02
Qatar,781,88,2.0,1,62.0,6.0,0.0,2020-04-02
Estonia,745,30,4.0,1,26.0,13.0,0.0,2020-04-02
Algeria,716,132,44.0,9,46.0,0.0,0.0,2020-04-02
Hong Kong,715,32,4.0,0,128.0,5.0,0.0,2020-04-02
Diamond Princess,712,0,11.0,0,603.0,15.0,0.0,2020-04-02
Egypt,710,54,46.0,5,157.0,0.0,0.0,2020-04-02
Iraq,694,64,50.0,4,170.0,0.0,0.0,2020-04-02
UAE,664,53,6.0,1,61.0,2.0,0.0,2020-04-02
New Zealand,647,58,1.0,0,74.0,2.0,0.0,2020-04-02
Ukraine,645,97,17.0,4,10.0,0.0,0.0,2020-04-02
Morocco,617,61,36.0,3,24.0,1.0,0.0,2020-04-02
Bahrain,567,52,4.0,0,295.0,2.0,0.0,2020-04-02
Lithuania,537,46,8.0,1,7.0,27.0,0.0,2020-04-02
Armenia,532,50,3.0,0,30.0,30.0,0.0,2020-04-02
Hungary,492,45,16.0,1,37.0,6.0,0.0,2020-04-02
Lebanon,463,17,12.0,1,37.0,7.0,0.0,2020-04-02
Bosnia and Herzegovina,420,52,13.0,3,17.0,1.0,0.0,2020-04-02
Bulgaria,399,40,8.0,0,17.0,14.0,0.0,2020-04-02
Latvia,398,22,0.0,0,1.0,3.0,0.0,2020-04-02
Tunisia,394,32,10.0,1,3.0,10.0,0.0,2020-04-02
Andorra,376,6,12.0,4,10.0,12.0,0.0,2020-04-02
Slovakia,363,27,0.0,0,3.0,1.0,0.0,2020-04-02
Moldova,353,55,4.0,2,18.0,44.0,0.0,2020-04-02
Costa Rica,347,17,2.0,0,4.0,8.0,0.0,2020-04-02
Kazakhstan,343,41,2.0,1,24.0,6.0,0.0,2020-04-02
Uruguay,338,18,1.0,0,41.0,12.0,0.0,2020-04-02
North Macedonia,329,44,9.0,2,12.0,4.0,0.0,2020-04-02
Taiwan,322,16,5.0,0,39.0,0.0,0.0,2020-04-02
Azerbaijan,298,25,5.0,1,26.0,11.0,0.0,2020-04-02
Kuwait,289,23,0.0,0,73.0,13.0,0.0,2020-04-02
Jordan,274,6,5.0,0,30.0,5.0,0.0,2020-04-02
Cyprus,262,32,8.0,1,23.0,3.0,0.0,2020-04-02
Burkina Faso,261,15,14.0,2,32.0,0.0,0.0,2020-04-02
Réunion,247,23,0.0,0,1.0,4.0,0.0,2020-04-02
Albania,243,20,15.0,4,52.0,8.0,0.0,2020-04-02
San Marino,236,6,26.0,1,13.0,16.0,0.0,2020-04-02
Vietnam,212,8,0.0,0,58.0,3.0,0.0,2020-04-02
Cameroon,193,54,6.0,0,5.0,0.0,0.0,2020-04-02
Oman,192,13,1.0,1,34.0,3.0,0.0,2020-04-02
Cuba,186,16,6.0,2,8.0,3.0,0.0,2020-04-02
Ivory Coast,179,11,1.0,0,7.0,0.0,0.0,2020-04-02
Senegal,175,13,0.0,0,40.0,0.0,0.0,2020-04-02
Afghanistan,174,4,4.0,0,5.0,0.0,0.0,2020-04-02
Uzbekistan,172,23,2.0,0,7.0,8.0,0.0,2020-04-02
Faeroe Islands,169,1,0.0,0,74.0,3.0,0.0,2020-04-02
Malta,169,13,0.0,0,2.0,2.0,0.0,2020-04-02
Ghana,161,9,5.0,0,31.0,1.0,0.0,2020-04-02
Belarus,152,0,1.0,1,47.0,2.0,0.0,2020-04-02
Mauritius,143,15,5.0,2,0.0,1.0,0.0,2020-04-02
Sri Lanka,143,21,2.0,0,17.0,5.0,0.0,2020-04-02
Honduras,141,2,7.0,0,3.0,4.0,0.0,2020-04-02
Channel Islands,141,0,3.0,1,0.0,0.0,0.0,2020-04-02
Venezuela,135,0,3.0,0,39.0,6.0,0.0,2020-04-02
Nigeria,135,4,2.0,0,8.0,0.0,0.0,2020-04-02
Brunei,129,2,1.0,0,45.0,3.0,0.0,2020-04-02
Martinique,128,35,3.0,2,27.0,15.0,0.0,2020-04-02
Palestine,119,2,1.0,0,18.0,0.0,0.0,2020-04-02
Guadeloupe,114,8,4.0,0,22.0,14.0,0.0,2020-04-02
Georgia,110,7,0.0,0,21.0,6.0,0.0,2020-04-02
Montenegro,109,18,2.0,1,0.0,1.0,0.0,2020-04-02
Cambodia,109,2,0.0,0,23.0,1.0,0.0,2020-04-02
Bolivia,107,10,6.0,2,0.0,3.0,0.0,2020-04-02
Kyrgyzstan,107,13,0.0,0,3.0,0.0,0.0,2020-04-02
DRC,98,17,8.0,0,2.0,0.0,0.0,2020-04-02
Mayotte,94,12,1.0,1,10.0,3.0,0.0,2020-04-02
Trinidad and Tobago,87,4,3.0,0,1.0,0.0,0.0,2020-04-02
Rwanda,75,5,0.0,0,0.0,0.0,0.0,2020-04-02
Gibraltar,69,0,0.0,0,34.0,0.0,0.0,2020-04-02
Liechtenstein,68,6,0.0,0,0.0,0.0,0.0,2020-04-02
Paraguay,65,1,3.0,0,1.0,3.0,0.0,2020-04-02
Isle of Man,60,11,0.0,0,0.0,0.0,0.0,2020-04-02
Kenya,59,9,1.0,0,1.0,2.0,0.0,2020-04-02
Madagascar,57,14,0.0,0,0.0,6.0,0.0,2020-04-02
Aruba,55,5,0.0,0,1.0,0.0,0.0,2020-04-02
Monaco,52,3,1.0,0,2.0,0.0,0.0,2020-04-02
Bangladesh,51,2,5.0,0,25.0,1.0,0.0,2020-04-02
French Guiana,51,8,0.0,0,15.0,0.0,0.0,2020-04-02
Uganda,44,11,0.0,0,0.0,0.0,0.0,2020-04-02
Macao,41,3,0.0,0,10.0,0.0,0.0,2020-04-02
Jamaica,38,2,2.0,1,2.0,0.0,0.0,2020-04-02
Guatemala,38,2,1.0,0,12.0,1.0,0.0,2020-04-02
French Polynesia,37,1,0.0,0,0.0,1.0,0.0,2020-04-02
Zambia,36,1,0.0,0,0.0,0.0,0.0,2020-04-02
Niger,34,7,3.0,0,0.0,0.0,0.0,2020-04-02
Togo,34,4,1.0,0,10.0,0.0,0.0,2020-04-02
Barbados,34,1,0.0,0,0.0,0.0,0.0,2020-04-02
El Salvador,32,2,1.0,1,0.0,5.0,0.0,2020-04-02
Bermuda,32,5,0.0,0,10.0,0.0,0.0,2020-04-02
Djibouti,30,12,0.0,0,0.0,0.0,0.0,2020-04-02
Mali,28,3,2.0,0,0.0,0.0,0.0,2020-04-02
Ethiopia,26,3,0.0,0,2.0,2.0,0.0,2020-04-02
Guinea,22,0,0.0,0,0.0,0.0,0.0,2020-04-02
Tanzania,19,0,1.0,1,1.0,0.0,0.0,2020-04-02
Congo,19,0,0.0,0,0.0,0.0,0.0,2020-04-02
Maldives,18,1,0.0,0,13.0,0.0,0.0,2020-04-02
Gabon,16,9,1.0,0,0.0,0.0,0.0,2020-04-02
New Caledonia,16,1,0.0,0,0.0,0.0,0.0,2020-04-02
Myanmar,15,1,1.0,1,0.0,0.0,0.0,2020-04-02
Saint Martin,15,0,1.0,0,2.0,0.0,0.0,2020-04-02
Equatorial Guinea,15,3,0.0,0,1.0,0.0,0.0,2020-04-02
Eritrea,15,0,0.0,0,0.0,0.0,0.0,2020-04-02
Haiti,15,0,0.0,0,1.0,0.0,0.0,2020-04-02
Cayman Islands,14,2,1.0,0,0.0,0.0,0.0,2020-04-02
Bahamas,14,0,0.0,0,1.0,0.0,0.0,2020-04-02
Saint Lucia,13,4,0.0,0,1.0,0.0,0.0,2020-04-02
Guyana,12,4,2.0,1,0.0,0.0,0.0,2020-04-02
Dominica,12,0,0.0,0,0.0,0.0,0.0,2020-04-02
Mongolia,12,0,0.0,0,2.0,0.0,0.0,2020-04-02
Curaçao,11,0,1.0,0,2.0,0.0,0.0,2020-04-02
Namibia,11,0,0.0,0,2.0,0.0,0.0,2020-04-02
Syria,10,0,2.0,0,0.0,0.0,0.0,2020-04-02
Greenland,10,0,0.0,0,2.0,0.0,0.0,2020-04-02
Libya,10,2,0.0,0,1.0,0.0,0.0,2020-04-02
Seychelles,10,2,0.0,0,0.0,0.0,0.0,2020-04-02
Benin,9,3,0.0,0,1.0,0.0,0.0,2020-04-02
Grenada,9,0,0.0,0,0.0,0.0,0.0,2020-04-02
Laos,9,1,0.0,0,0.0,0.0,0.0,2020-04-02
Suriname,9,1,0.0,0,0.0,0.0,0.0,2020-04-02
Eswatini,9,0,0.0,0,0.0,0.0,0.0,2020-04-02
Zimbabwe,8,1,1.0,0,0.0,0.0,0.0,2020-04-02
Guinea-Bissau,8,0,0.0,0,0.0,0.0,0.0,2020-04-02
Mozambique,8,0,0.0,0,0.0,0.0,0.0,2020-04-02
Saint Kitts and Nevis,8,1,0.0,0,0.0,0.0,0.0,2020-04-02
Angola,7,0,2.0,0,1.0,0.0,0.0,2020-04-02
Sudan,7,1,2.0,0,1.0,0.0,0.0,2020-04-02
Antigua and Barbuda,7,0,0.0,0,0.0,0.0,0.0,2020-04-02
Chad,7,2,0.0,0,0.0,0.0,0.0,2020-04-02
Cabo Verde,6,0,1.0,0,0.0,0.0,0.0,2020-04-02
Mauritania,6,0,1.0,0,2.0,0.0,0.0,2020-04-02
Vatican City,6,0,0.0,0,0.0,0.0,0.0,2020-04-02
St. Barth,6,0,0.0,0,1.0,0.0,0.0,2020-04-02
Sint Maarten,6,0,0.0,0,0.0,0.0,0.0,2020-04-02
Nicaragua,5,1,1.0,0,0.0,0.0,0.0,2020-04-02
Nepal,5,0,0.0,0,1.0,0.0,0.0,2020-04-02
Fiji,5,0,0.0,0,0.0,0.0,0.0,2020-04-02
Montserrat,5,0,0.0,0,0.0,0.0,0.0,2020-04-02
Somalia,5,2,0.0,0,1.0,0.0,0.0,2020-04-02
